,Name,Level,Highlight,Rating,starting Price
0,Vero Agency,,Our agency will create linkedin posts for your business,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
1,Vero Agency,,Our agency will create linkedin posts for your business,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
2,Moinul Islam,,I will viral promote your medium article,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
3,Moinul Islam,,I will viral promote your medium article,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
4,Expert Mania,,I will complete youtube channel monetization promotion,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
5,Expert Mania,,I will complete youtube channel monetization promotion,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
6,Tom,,I will identify all your instagram fake inactive and ghost followers,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
7,Tom,,I will identify all your instagram fake inactive and ghost followers,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
8,Katerina,,I will be your social media posts and reels creator,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
9,Katerina,,I will be your social media posts and reels creator,,"<span class=""text-bold co-grey-1200"">From<!-- --> <span>PKR 40,845</span></span>"
